City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
131,Tiznit,MA,2022-05-07 22:02:44,29.5833,-9.5,76.71,20,71,2.37,broken clouds
132,Boyabat,TR,2022-05-07 22:02:45,41.4689,34.7667,48.34,86,100,4.41,overcast clouds
133,Codrington,AU,2022-05-07 21:58:41,-38.2667,141.9667,54.23,81,84,8.57,broken clouds
134,Longyearbyen,SJ,2022-05-07 22:03:46,78.2186,15.6401,12.04,57,20,14.97,few clouds
135,Sarangani,PH,2022-05-07 22:03:46,5.4033,125.4636,83.14,79,99,18.84,overcast clouds
136,Vilyuysk,RU,2022-05-07 22:03:47,63.7553,121.6247,36.05,90,100,7.16,overcast clouds
137,Yar-Sale,RU,2022-05-07 22:03:47,66.8333,70.8333,15.51,94,11,9.08,few clouds
138,Suez,EG,2022-05-07 22:03:48,29.9737,32.5263,67.26,37,52,7.85,broken clouds
139,Abu Samrah,SY,2022-05-07 21:55:35,35.3029,37.1841,55.78,70,10,9.82,clear sky
140,Marsa Matruh,EG,2022-05-07 22:03:49,31.3525,27.2453,65.1,70,100,8.12,overcast clouds
141,Mar Del Plata,AR,2022-05-07 22:03:50,-38.0023,-57.5575,66.94,70,35,9.51,scattered clouds
142,Yellowknife,CA,2022-05-07 22:03:50,62.456,-114.3525,37.56,93,100,25.01,overcast clouds
143,Canico,PT,2022-05-07 22:03:51,32.6333,-16.85,63.23,67,20,24.16,few clouds
144,Tasiilaq,GL,2022-05-07 22:03:51,65.6145,-37.6368,30.36,76,99,5.86,overcast clouds
145,Isla Vista,US,2022-05-07 22:03:52,34.4133,-119.861,77.77,57,0,10.36,haze
146,Severo-Kurilsk,RU,2022-05-07 21:55:36,50.6789,156.125,43.43,86,100,4.03,overcast clouds
147,Pontes E Lacerda,BR,2022-05-07 22:03:53,-15.2261,-59.3353,71.98,61,0,3.96,clear sky
148,Marsabit,KE,2022-05-07 22:03:53,2.3284,37.9899,67.28,76,100,14.38,overcast clouds
149,Fortuna,US,2022-05-07 22:03:54,40.5982,-124.1573,55.92,78,100,11.5,overcast clouds
150,Norman Wells,CA,2022-05-07 22:03:55,65.282,-126.8329,44.87,58,100,2.35,overcast clouds
