City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
165,Isangel,VU,77.11,clear sky,-19.55,169.2667,Tanna Lodge
166,Mackay,AU,71.69,overcast clouds,-21.15,149.2,International Lodge Motel
177,Saint-Georges,GD,79.77,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
181,Caravelas,BR,74.19,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
184,Kaohsiung,TW,79.03,overcast clouds,22.6163,120.3133,御宿商旅-中山館
185,Sabzevar,IR,75.07,overcast clouds,36.2126,57.6819,پزشکی قانونی سبزوار
193,Hargeysa,SO,72.72,scattered clouds,9.56,44.065,City Center Hotel
197,Namatanai,PG,82.65,light rain,-3.6667,152.4333,Seagulls Inn Namatani
201,Kavieng,PG,84.11,broken clouds,-2.5744,150.7967,Nusa Island Retreat
203,Russell,US,78.4,few clouds,32.3502,-85.1999,Macs
204,Vao,NC,73.45,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
206,Planaltina,BR,72.5,overcast clouds,-15.4528,-47.6142,Retiro Maranata
209,Lekoni,GA,71.42,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
213,Salalah,OM,79.39,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
214,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
215,Dingle,PH,78.12,few clouds,10.9995,122.6711,SEGAYA PROPERTY
219,Linqiong,CN,72.73,scattered clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
221,Agadir,MA,75.65,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
225,Nioro,GM,85.64,clear sky,13.35,-15.75,
226,King City,US,73.9,scattered clouds,36.2127,-121.126,Days Inn by Wyndham King City
227,La Palma,US,84.49,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
228,Ca Mau,VN,79.39,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
232,San Policarpo,PH,81.25,broken clouds,12.1791,125.5072,Agapita M. Nicart
233,Axim,GH,81.45,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
234,Sumenep,ID,80.96,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
235,Taoudenni,ML,87.85,clear sky,22.6783,-3.9836,
237,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
238,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
239,Tessalit,ML,85.82,scattered clouds,20.1986,1.0114,
241,Lubao,PH,82.47,overcast clouds,14.9167,120.55,Hacienda Gracia
242,Mogadishu,SO,81.99,broken clouds,2.0371,45.3438,Hotel Juba
243,Ambanja,MG,74.5,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
245,Trelew,AR,74.17,scattered clouds,-43.249,-65.3051,Hotel Touring Club
248,Korla,CN,71.83,broken clouds,41.7597,86.1469,Gulisitan Hotel
249,Santiago Del Estero,AR,74.23,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
250,Kieta,PG,82.94,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
251,Adre,TD,83.01,overcast clouds,13.4667,22.2,
253,Puro,PH,80.82,few clouds,12.4841,123.3827,
257,Marsh Harbour,BS,81.09,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
258,Perbaungan,ID,76.57,light rain,3.5679,98.956,Bendang Lama
