City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
77,Monrovia,LR,2022-05-03 19:41:25,6.3005,-10.7969,81.36,82,14,9.78
78,Povenets,RU,2022-05-03 19:41:26,62.8487,34.8262,30.42,82,88,14.45
79,Filingue,NE,2022-05-03 19:41:26,14.3521,3.3168,92.77,11,23,4.29
80,Bengkulu,ID,2022-05-03 19:41:27,-3.8004,102.2655,75.09,93,100,4.81
81,Brownwood,US,2022-05-03 19:39:03,31.7093,-98.9912,67.32,57,97,4.52
82,Darnah,LY,2022-05-03 19:41:28,32.767,22.6367,60.96,85,0,14.43
83,Cidreira,BR,2022-05-03 19:41:28,-30.1811,-50.2056,64.17,92,100,20.78
84,San Quintin,MX,2022-05-03 19:41:29,30.4833,-115.95,64.56,63,77,17.67
85,Bethel,US,2022-05-03 19:38:46,41.3712,-73.414,61.86,77,100,9.22
86,Qaanaaq,GL,2022-05-03 19:41:30,77.484,-69.3632,19.04,66,100,0.45
87,Itaueira,BR,2022-05-03 19:41:30,-7.6033,-43.0256,86.67,47,100,5.88
88,Atuona,PF,2022-05-03 19:42:31,-9.8,-139.0333,79.39,78,16,17.45
89,Ribeira Grande,PT,2022-05-03 19:42:31,38.5167,-28.7,64.8,82,20,9.22
90,Hilo,US,2022-05-03 19:40:28,19.7297,-155.09,77.29,97,100,6.91
91,Whitehorse,CA,2022-05-03 19:39:37,60.7161,-135.0538,48.09,44,75,18.41
92,Muravlenko,RU,2022-05-03 19:42:33,63.7898,74.523,28.33,81,100,20.24
93,Ancud,CL,2022-05-03 19:42:33,-41.8697,-73.8203,52.99,96,100,10.13
94,Gumdag,TM,2022-05-03 19:42:34,39.2061,54.5906,66.06,66,100,8.25
95,Arraial Do Cabo,BR,2022-05-03 19:42:34,-22.9661,-42.0278,84.16,74,0,14.97
96,Bull Savanna,JM,2022-05-03 19:42:35,17.8868,-77.5902,82.56,66,1,19.04
97,San Cristobal,VE,2022-05-03 19:42:36,7.7669,-72.225,87.98,44,20,7.65
98,El Dorado,US,2022-05-03 19:42:36,38.7666,-120.5177,69.19,28,6,3.0
99,Pisco,PE,2022-05-03 19:42:37,-13.7,-76.2167,72.01,64,0,8.05
100,Leningradskiy,RU,2022-05-03 19:42:37,69.3833,178.4167,15.15,90,86,5.68
